text,merek,jenis_produk,kandungan,manfaat
the originote retinol b3 serum anti - aging menyamarkan garis halus meratakan warna kulit merawat jerawat vitamin niacinamide,the originote,serum,"retinol b3, vitamin, niacinamide",anti - aging menyamarkan garis halus meratakan warna kulit merawat jerawat
bioaqua sheet mask hydrating essence brightening face,bioaqua,"essence, sheet mask",,"hydrating, brightening face"
youbuy white and freckle removing cream serum brighten skin essence,youbuy,"cream serum, essence",,"brighten skin, white and freckle removing"
cream white putih,,cream,,white putih
some mi mask,some mi,mask,,
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"yang mencerahkan kulit memperbaiki skin barrier perfecting make up, hydramoist"
elformula intensive peeling solution,elformula,solution,,intensive peeling
elformula intensive cerahydro barrier repair moisturizer gel pelembab wajah untuk melembabkan kulit mencerahkan hyaluronic acid extract ceramide,elformula,moisturizer gel pelembab wajah,"hyaluronic acid, extract ceramide","untuk melembabkan kulit mencerahkan, intensive cerahydro barrier repair"
skin1004 centella ampoule,skin1004,ampoule,centella,
the originote ceratinol moisturizer retinol cream gel serum pelembab wajah menyamarkan garis halus mengencangkan ceramide,the originote,"moisturizer, cream gel serum pelembab wajah","retinol, ceratinol, ceramide",menyamarkan garis halus mengencangkan
whitelab intense brightening serum niacinamide pencerah wajah intensif oxy229 hyaluronic,whitelab,serum,"niacinamide, oxy229 hyaluronic","pencerah wajah intensif, intense brightening"
azarine aqua essence sun shield serum spf 50 pa hydrasoothe sunscreen gel spf45 bodyguard body saver moisturizer,azarine,"essence sun shield serum, moisturizer, sunscreen gel",aqua,"body saver, spf45 bodyguard, spf 50 pa hydrasoothe"
wardah uv shield jerawat calming sunscreen moisturizer spf 35 pa,wardah,sunscreen moisturizer,,"spf 35 pa, uv shield jerawat calming"
the originote ceraluronic essence toner melembabkan wajah menjaga skin barrier ceramide hyaluronic acid,the originote,essence toner,"ceraluronic, ceramide hyaluronic acid",melembabkan wajah menjaga skin barrier
madame gie protect sunscreen spf 30 pa calendula sunblock,madame gie,"sunblock, sunscreen",calendula,"spf 30 pa, protect"
bioaqua ceramide skin barrier repair moisturizer cream pelembab wajah white day night gel siang malam mousturizer moizturizer,bioaqua,"gel, mousturizer moizturizer, moisturizer cream pelembab wajah",ceramide,"siang malam, skin barrier repair, white day night"
sunny day cream sunscreen camille,camille,cream sunscreen,,sunny day
the originote gluta bright serum brightening untuk mencerahkan meratakan warna kulit wajah niacinamide,the originote,"bright, serum","niacinamide, gluta",brightening untuk mencerahkan meratakan warna kulit wajah
sabun papaya,papaya,sabun,,
you hy amino anti jerawat facial wash kulit berminyak,you hy,facial wash,amino,"anti jerawat, kulit berminyak"
the originote day night hyalu serum retinol,the originote,serum,"retinol, hyalu","day, night"
viva glowing white serum anti - aging peeling jerawat,viva,serum,,"anti - aging peeling jerawat, glowing white"
skinever peeling gel niacinamide white pengelupasan pembersihan mendalam mencerahkan wajah,skinever,peeling gel,niacinamide,white pengelupasan pembersihan mendalam mencerahkan wajah
ms glow night cream,ms glow,cream,,night
skin aqua uv white milk spf 50 pa putih,skin aqua,white milk,,"uv, spf 50 pa putih"
wardah uv shield essential sunscreen gel spf 35 pa tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini,wardah,sunscreen gel,,"spf 35 pa, uv shield essential, tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini"
azarine cicamide barrier calm my jerawat sunscreen moisturizer,azarine,sunscreen moisturizer,cicamide,barrier calm my jerawat
azarine cicamide barrier sunscreen moisturizer spf35 pa gel untuk skin protection kulit kering jerawat sensitif,azarine,"gel, sunscreen moisturizer",cicamide,"barrier, spf35 pa, untuk skin protection kulit kering jerawat sensitif"
alivee jerawat pimple patch stiker komedo untuk perawatan,alivee,pimple patch stiker,,"jerawat, komedo untuk perawatan"
ms glow facial wash,ms glow,facial wash,,
stiker jerawat hydrocolloid pimple patch,,"stiker jerawat, pimple patch",hydrocolloid,
ariul mask sheet,ariul,mask sheet,,
night cream ms glow malam jerawat ultimate white,ms glow,cream,,"malam, jerawat ultimate white, night"
jerawat patch penghilang kempes stiker,,"jerawat patch, stiker",,penghilang kempes
ms glow night cream white ultimate jerawat serum facial wash sabun men poreaway siang fight toner glowing darkspot acnespot,ms glow,"serum facial wash, sabun men, night cream, toner",,"glowing darkspot acnespot, poreaway siang fight, white ultimate jerawat"
the originote cica b5 soothing essence toner wajah menenangkan kulit kemerahan menyegarkan centella asiatica,the originote,essence toner wajah,"cica b5, centella asiatica","soothing, menenangkan kulit kemerahan menyegarkan"
cordycep cream cordy,"cordycep, cordy",cream,,
hanasui white serum,hanasui,serum,,white
you acneplus spot care obat totol jerawat centella,you,acneplus spot care obat totol jerawat,centella,
cetaphil gentle skin cleanser niacinamide glycerin panthenol sabun wajah untuk segala jenis kulit,cetaphil gentle skin,"sabun wajah, cleanser",niacinamide glycerin panthenol,untuk segala jenis kulit
salep glowing zayora untuk kulit susah putih,zayora,salep,,"glowing, untuk kulit susah putih"
skintific clay mask stick mugwort jerawat alaska volcano exfoliating pore detox komedo sleeping gel,skintific,"sleeping gel, clay mask stick, alaska volcano",mugwort,"exfoliating pore detox komedo, jerawat"
green tea mask stik cleansing wajah cleanser komedo,,"wajah cleanser, mask stik",green tea,"komedo, cleansing"
bioaqua sheet mask flowers,bioaqua,sheet mask,flowers,
salep flek,,salep flek,,
skintific panthenol gel cleanser facial wash acnes face sabun cuci wajah acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot cleansing amino acid ceramide,skintific,gel cleanser facial wash acnes face sabun cuci wajah,"amino acid ceramide, panthenol",acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot cleansing
choice cleora exfoliating gel aha bha pha untuk wanita pria niacinamide angkat sel kulit mati smooth brightening peeling face scrub pencerah,choice cleora,"exfoliating gel, peeling face","niacinamide, aha bha pha","angkat sel kulit mati smooth brightening, scrub pencerah, untuk wanita pria"
bioaqua sheet mask flowers,bioaqua,sheet mask,flowers,
glycore cream menyamarkan kulit gelap flek hitam,glycore,cream,,menyamarkan kulit gelap flek hitam
bioaqua sheet mask plant flowers eye facial brightening glowing moisturizing hydrating essence anti jerawat honey vitamin c pelembab kulit,bioaqua,"essence, sheet mask","honey vitamin c, plant flowers","pelembab kulit, anti jerawat, hydrating, eye facial brightening glowing moisturizing"
poupeepou mask wajah,poupeepou,mask wajah,,
alivee jerawat patch sticker penutuh pelindung,alivee,"sticker, jerawat patch",,penutuh pelindung
whitelab brightening toner pencerah wajah anti kusam niacinamide hyaluronic collagen,whitelab,toner,niacinamide hyaluronic collagen,"pencerah wajah anti kusam, brightening"
acnaway jerawat cream spot treatment obat totol anti penghilang bekas sulfur salicylic acid totarol,acnaway,"jerawat cream spot, obat totol",sulfur salicylic acid totarol,"treatment, anti penghilang bekas"
acnaway mugwort water gel moisturizer centella panthenol only jerawat skin,acnaway,water gel moisturizer,"centella panthenol, mugwort",only jerawat skin
skintific ceramide skin barrier moisturize gel moisturizer cream white wajah day night pelembab,skintific,"pelembab, moisturize gel moisturizer cream",ceramide,"white wajah day night, skin barrier"
implora serum wajah hydrating jerawat brightening peeling midnight,implora,serum wajah,,hydrating jerawat brightening peeling midnight
innisfree sheet mask,innisfree,sheet mask,,
ms glow day cream,ms glow,cream,,day
the originote dark spot serum,the originote,serum,,dark spot
skintific lactic acid skin renewal exfoliating serum peeling wajah mencerahkan dark spot tumpas komedo anti - aging anti acnedan angkat sel kulit mati aha succinic grapefruit,skintific,exfoliating serum peeling wajah,"lactic acid, aha succinic, grapefruit","mencerahkan dark spot tumpas komedo anti - aging anti acnedan angkat sel kulit mati, skin renewal"
jerawat patch penghilang acnes spot care plester stiker,,"jerawat patch, plester, stiker",,penghilang acnes spot care
skintific mugwort clay stick cleansing mask anti pores jerawat facial wajah wash green alaska volcano,skintific,"clay stick cleansing mask, facial wajah wash, green alaska volcano",mugwort,anti pores jerawat
yessica clay stick mask tea tree strawberry kulit berminyak jerawat membersihkan pori melembutkan menghaluskan tekstur mencegah mengatasi praktis mudah aplikasikan mengurangi sebum diwajah,yessica,clay stick mask,tea tree strawberry,"kulit berminyak jerawat membersihkan pori melembutkan menghaluskan tekstur mencegah mengatasi, praktis mudah aplikasikan mengurangi sebum diwajah"
gelatin komedo mask,,komedo mask,gelatin,
salep bl cream obat jerawat gatal eksim jamur,bl,"cream obat jerawat, salep",,gatal eksim jamur
sadoer sheet mask perawatan wajah,sadoer,sheet mask,,perawatan wajah
facetology triple care sunscreen spf 40 pa gel cleanser,facetology,"gel cleanser, sunscreen",,"triple care, spf 40 pa"
mask wajah green stick greentea penghilang komedo,,"mask wajah, stick","green, greentea",penghilang komedo
aqua uv moisturizer milk spf 50 tone up essence gel 30 25 white spf50,aqua,"moisturizer, tone up essence gel",milk,"30, 25 white spf50, uv, spf 50"
glad2glow mugwort salicylic acid jerawat clay stick mask stik cleanser komedo penghilang bekas,glad2glow,jerawat clay stick mask stik cleanser,mugwort salicylic acid,"penghilang bekas, komedo"
jerawat pimple patch sticker salicylic acid penghilang kempes asam salisilat pengobatan menghilangkan wajah untuk perawatan kulit,,jerawat pimple patch sticker,"asam salisilat, salicylic acid","pengobatan menghilangkan wajah untuk perawatan kulit, penghilang kempes"
bioaqua niacinamide brightening jerawat serum hydrating essence wajah menyamarkan flek hitam,bioaqua,"essence, jerawat serum",niacinamide,"hydrating, wajah menyamarkan flek hitam, brightening"
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"yang mencerahkan kulit memperbaiki skin barrier perfecting make up, hydramoist"
the originote jerawat serum anti inflamasi untuk merawat mencegah pertumbuhan salicylic acid,the originote,serum,salicylic acid,"jerawat, anti inflamasi untuk merawat mencegah pertumbuhan"
gmeelan orange exfoliating white gel meng angkat sel kulit mati,gmeelan orange,exfoliating white gel,,meng angkat sel kulit mati
bioaqua sheet mask sachet tissue wajah,bioaqua,sheet mask sachet tissue wajah,,
skin1004 madagascar centella tea trica spot patch,skin1004,spot patch,madagascar centella tea trica,
stickers jerawat patch,,"stickers, patch",,jerawat
skintific ceramide serum sunscreen spf50 pa sun repair invisible sunblock glowing barrier anti - aging brightening white mencerahkan wajah,skintific,"serum sunscreen, sunblock",ceramide,"glowing barrier anti - aging brightening white mencerahkan wajah, spf50 pa sun repair invisible"
pigeon teens series facial foam sabun cuci wajah moisturizer sleeping mask serum sunscreen,pigeon teens series,"facial foam sabun cuci wajah moisturizer, sleeping mask serum sunscreen",,
elsheskin radiant advance serum brightening anti kusam mencerahkan maksimal pudarkan noda hitam bekas jerawat tranexamic acid niacinamide symwhite kojic alpha arbutin,,elsheskin radiant advance serum,"tranexamic acid, kojic alpha arbutin, niacinamide symwhite",brightening anti kusam mencerahkan maksimal pudarkan noda hitam bekas jerawat
skin aqua sunscreen moisturizer milk gel white mild tone up uv,skin aqua,"tone up, gel, moisturizer, sunscreen",milk,"white mild, uv"
glowsophy cica panthenol soothing moisturizer,glowsophy,moisturizer,cica panthenol,soothing
scora panthenol low ph cleanser sabun cuci wajah sensitive skin,scora,cleanser sabun cuci wajah,panthenol,"low ph, sensitive skin"
wardah uv shield airy smooth sunscreen serum spf 50 pa ringan,wardah,sunscreen serum,,"uv shield airy smooth, ringan, spf 50 pa"
azarine hydrasoothe sunscreen gel spf 45 pa,azarine,sunscreen gel,,"spf 45 pa, hydrasoothe"
the originote mugwort b3 clay stick mask wajah membantu exfoliating menghilangkan minyak berlebih jerawat niacinamide,the originote,clay stick mask wajah,"mugwort b3, niacinamide",membantu exfoliating menghilangkan minyak berlebih jerawat
bioaqua sheet mask brightening moisturizing hydrating essence anti - aging wajah,bioaqua,"essence, sheet mask",,"hydrating, brightening moisturizing, anti - aging wajah"
you triple uv sunscreen spf50 pa tabir surya oil control untuk kulit berminyak uva uvb blue light oily skin selling,you,"tabir surya, sunscreen",,"spf50 pa, triple uv, oil control untuk kulit berminyak uva uvb blue light oily skin selling"
ghaniyyah cream erna,"ghaniyyah, erna",cream,,
viva face serum peeling glowing white anti - aging,viva,face serum,,peeling glowing white anti - aging
jerawat pimple patch stiker penghilang,,jerawat pimple patch stiker,,penghilang
skintific acid anti jerawat gel moisturizer melembabkan menghilangkan bekas kulit beruntusan exfoliating perawatan wajah calming pelembab white facial day cream night,skintific,"pelembab, gel moisturizer",acid,"white facial day cream night, melembabkan menghilangkan bekas kulit beruntusan exfoliating perawatan wajah calming, anti jerawat"
skintific ceramide low ph cleanser facial wash face sabun cuci wajah acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot amino acid hyaluronic,skintific,cleanser facial wash face sabun cuci wajah,"ceramide, amino acid hyaluronic","low ph, acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot"
viva white cream,viva,cream,,white
bioaqua sheet mask,bioaqua,sheet mask,,
dorskin matcha glow sleeping mask jerawat brightening pelembap cream pagi malam gel,dorskin,"sleeping mask, pelembap cream, gel",matcha,"glow, pagi malam, jerawat brightening"
seca skin renewal exfoliating peeling gel,seca,exfoliating peeling gel,,skin renewal
bioaqua sheet mask brightening moisturizing hydrating essence anti - aging,bioaqua,"essence, sheet mask",,"anti - aging, hydrating, brightening moisturizing"
white serum pencerah wajah,,serum,,"white, pencerah wajah"
somethinc biospicule renewal serum,somethinc,biospicule renewal serum,,
wardah bright creamy foam smooth glow oil control,wardah,bright creamy foam,,smooth glow oil control
hchana natural skin mask sheet rorec,"rorec, hchana",mask sheet,,natural skin
bioaqua sheet mask,bioaqua,sheet mask,,
natur90 peel off mask goat milk charcoal naturgo jerawat wajah,"natur90, naturgo",peel off mask,"charcoal, goat milk",jerawat wajah
bioaqua scrub wajah peeling gel niacinamide brightening smooth facial exfoliating face,bioaqua,scrub wajah peeling gel,niacinamide,brightening smooth facial exfoliating face
the originote jelly booster serum moisturizer mencerahkan meratakan warna kulit glutathione,the originote,jelly booster serum moisturizer,glutathione,mencerahkan meratakan warna kulit
implora face serum hydrating jerawat brightening peeling midnight white milkyampoule sunscreen sun shield tabir surya spf,implora,"face serum, tabir surya, sunscreen",milkyampoule,"sun shield, hydrating jerawat brightening peeling midnight white, spf"
grace and glow brightening sun lotion body serum spf 30 pa sunscreen sunblock badan anti uv arbutin bearberry,grace and glow,"sun lotion body serum, sunscreen sunblock",arbutin bearberry,"spf 30 pa, badan anti uv, brightening"
focallure spot patch jerawat treatment day night,focallure,spot patch jerawat,,treatment day night
jerawat patch penghilang acnes spot menghilangkan angkat speedy solution anti trouble,,jerawat patch,,"penghilang acnes spot, menghilangkan angkat speedy solution anti trouble"
jerawat patch transparan plester pagi malam ultra thin spot,,"jerawat patch transparan plester, ultra thin spot",,pagi malam
finally found you soy bright moisturizer primer makeup gel pelembab cream siang malam,finally found you soy,moisturizer primer makeup gel pelembab cream,,"bright, siang malam"
azarine hydrasoothe sunscreen gel spf45 pa sun screen tabir surya cream hydramax suncreen serum spf tone,azarine,"sunscreen gel, sun screen tabir surya cream, tone, suncreen serum",,"hydramax, spf, spf45 pa, hydrasoothe"
implora serum wajah,implora,serum wajah,,
exfoliating pad npure jerawat clear cica acid extract glycolic pha wajah bruntusan,npure,exfoliating pad,"cica, acid extract glycolic pha","jerawat clear, wajah bruntusan"
everpure sul jerawat spot drying lotion obat totol mengeringkan sulfur bha,everpure sul,lotion obat totol,sulfur bha,"jerawat spot drying, mengeringkan"
you daily defense sunscreen serum spf30 tabir surya uva uvb blue light lightweight dry skin,you,"tabir surya, sunscreen serum",,"daily defense, dry skin, uva uvb blue light lightweight, spf30"
azarine cicamide barrier sunscreen moisturizer spf35 pa,azarine,sunscreen moisturizer,cicamide,"barrier, spf35 pa"
bioaqua sheet mask fruits veggies buah sayur facial brightening moisturizing anti - aging wajah glowing glow,bioaqua,sheet mask,"buah sayur, fruits veggies","facial brightening moisturizing, anti - aging wajah glowing glow"
keymask,keymask,,,
jerawat patch hydrocolloids pimple repair skin penyerap serap minyak wajah oil control,,"jerawat patch, penyerap",hydrocolloids,"serap minyak wajah oil control, pimple repair skin"
collagen day night,,,collagen,day night
louisse choice ginseng herbal mask moisturizing nourishing anti - aging anti wrinkle seed oil centella,louisse choice,herbal mask,"ginseng, seed oil centella",moisturizing nourishing anti - aging anti wrinkle
eiem beauty moisturizer,eiem beauty,moisturizer,,
2 garnier men acno fight anti jerawat scrub foam,2 garnier men,"scrub, foam",,acno fight anti jerawat
skin1004 madagascar centella tone brightening capsule ampoule,skin1004,capsule ampoule,madagascar centella,tone brightening
the originote cleanser cicamide facial hyalurose micellar water,the originote,"micellar water, cleanser","cicamide, hyalurose",facial
green mask stick stik tea penghilang komedo,green,mask stick stik,tea,penghilang komedo
somethinc sunscreen spf 40 pa,somethinc,sunscreen,,spf 40 pa
serum vitamin e,,serum,vitamin e,
toner avoskin miraculous refining aha bha pha exfoliating kulit,avoskin miraculous,toner,aha bha pha,"exfoliating kulit, refining"
100 glad2glow pomegranate niacinamide brightening moisturizer mencerahkan pelembab wajah white glowing cream day night malam pencerah,100 glad2glow,"moisturizer, cream, pelembab wajah","pomegranate, niacinamide","day night malam pencerah, white glowing, mencerahkan, brightening"
skin aqua uv white milk spf50 pa,skin aqua,,milk,"spf50 pa, uv white"
skin1004 centella ampoule,skin1004,ampoule,centella,
skintific aqua light daily sunscreen spf 35 pa sunblock sun glowing barrier anti - aging brightening white mencerahkan wajah melindungi kulit dari sinar uva uvb,skintific,"sun, sunblock, sunscreen",aqua,"spf 35 pa, light daily, glowing barrier anti - aging brightening white mencerahkan wajah melindungi kulit dari sinar uva uvb"
fair lovely glow cream,fair lovely,cream,,glow
wardah uv shield sunscreen gel spf 35,wardah,sunscreen gel,,"spf 35, uv shield"
garnier bright complete vitamin c booster serum cepat cerahkan noda hitam samarkan bekas jerawat,garnier,booster serum,vitamin c,"bright complete, cepat cerahkan noda hitam samarkan bekas jerawat"
