text,merek,jenis_produk,kandungan,manfaat,topik,alasan_topik_kosong,topik_label
skintific niacinamide brightening moisturizer gel cream white wajah calming dark spot pelembab facial day night arbutin acid,skintific,"moisturizer gel cream, pelembab facial","niacinamide, arbutin acid","brightening, white wajah calming dark spot, day night",1.0,,Pembersih Wajah dan Perawatan Jerawat
yessica tea tree strawberry anti pores jerawat clay stick mask,yessica,clay stick mask,tea tree strawberry,anti pores jerawat,0.0,,Skincare Anti-Aging dan Brightening
azarine calm my jerawat sunscreen moisturizer spf35 pa gel untuk kulit berminyak sensitif,azarine,"sunscreen moisturizer, gel",,"calm my jerawat, spf35 pa, untuk kulit berminyak sensitif",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
rorec hchana mask sheet,rorec hchana,mask sheet,,,0.0,,Skincare Anti-Aging dan Brightening
meidian green tea stick mask cleanser pori komedo penghilang,meidian,stick mask cleanser,green tea,pori komedo penghilang,4.0,,Brightening dengan Bahan Aktif
somethinc calm down skinpair cream moisturizer centella asiatica skin barrier kulit sensitif iritasi,somethinc,cream moisturizer,centella asiatica,"calm down skinpair, skin barrier kulit sensitif iritasi",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
jerawat patch stiker hydrocolloid pimple,,"jerawat patch stiker, pimple",hydrocolloid,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
bioaqua moisturizer cream white wajah penghilang flek hitam fade dark spot mencerahkan day night pelembab kering kusam moisturizing brightening,bioaqua,"moisturizer, cream white wajah, pelembab",,"penghilang flek hitam fade dark spot mencerahkan day night, kering kusam moisturizing brightening",3.0,,Hidrasi dan Perawatan Kulit Sensitif
skin aqua uv white milk spf 50 pa putih,skin aqua,white milk,,"uv, spf 50 pa putih",0.0,,Skincare Anti-Aging dan Brightening
jerawat pimple patch stiker perawatan kulit penghilang acnes,,jerawat pimple patch stiker,,perawatan kulit penghilang acnes,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
poupeepou mask komedo gelatin,poupeepou,mask komedo,gelatin,,0.0,,Skincare Anti-Aging dan Brightening
fleuri mask wajah lea gloria,"fleuri, lea gloria",mask wajah,,,0.0,,Skincare Anti-Aging dan Brightening
gmeelan orange exfoliating gel peeling face gluta white cream day,gmeelan orange,"exfoliating gel peeling face, cream",gluta,"white, day",1.0,,Pembersih Wajah dan Perawatan Jerawat
meidian green tea mask cleansing clay stick wajah cleanser komedo,meidian,"mask, clay stick wajah cleanser",green tea,"cleansing, komedo",4.0,,Brightening dengan Bahan Aktif
the originote retinol b3 serum anti - aging menyamarkan garis halus meratakan warna kulit merawat jerawat vitamin niacinamide,the originote,serum,"retinol b3, vitamin, niacinamide",anti - aging menyamarkan garis halus meratakan warna kulit merawat jerawat,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua sheet mask hydrating essence brightening face,bioaqua,"sheet mask, essence",,"hydrating, brightening face",0.0,,Skincare Anti-Aging dan Brightening
youbuy white and freckle removing cream serum brighten skin essence,youbuy,"cream serum, essence",,"white and freckle removing, brighten skin",0.0,,Skincare Anti-Aging dan Brightening
cream white putih,,cream,,white putih,1.0,,Pembersih Wajah dan Perawatan Jerawat
some mi mask,some mi,mask,,,0.0,,Skincare Anti-Aging dan Brightening
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"hydramoist, yang mencerahkan kulit memperbaiki skin barrier perfecting make up",1.0,,Pembersih Wajah dan Perawatan Jerawat
elformula intensive peeling solution,elformula,solution,,intensive peeling,4.0,,Brightening dengan Bahan Aktif
elformula intensive cerahydro barrier repair moisturizer gel pelembab wajah untuk melembabkan kulit mencerahkan hyaluronic acid extract ceramide,elformula,moisturizer gel pelembab wajah,"hyaluronic acid, extract ceramide","intensive cerahydro barrier repair, untuk melembabkan kulit mencerahkan",4.0,,Brightening dengan Bahan Aktif
skin1004 centella ampoule,skin1004,ampoule,centella,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote ceratinol moisturizer retinol cream gel serum pelembab wajah menyamarkan garis halus mengencangkan ceramide,the originote,"moisturizer, cream gel serum pelembab wajah","ceratinol, retinol, ceramide",menyamarkan garis halus mengencangkan,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
whitelab intense brightening serum niacinamide pencerah wajah intensif oxy229 hyaluronic,whitelab,serum,"niacinamide, oxy229 hyaluronic","intense brightening, pencerah wajah intensif",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
azarine aqua essence sun shield serum spf 50 pa hydrasoothe sunscreen gel spf45 bodyguard body saver moisturizer,azarine,"essence sun shield serum, sunscreen gel, moisturizer",aqua,"spf 50 pa hydrasoothe, spf45 bodyguard, body saver",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah uv shield jerawat calming sunscreen moisturizer spf 35 pa,wardah,sunscreen moisturizer,,"uv shield jerawat calming, spf 35 pa",0.0,,Skincare Anti-Aging dan Brightening
the originote ceraluronic essence toner melembabkan wajah menjaga skin barrier ceramide hyaluronic acid,the originote,essence toner,"ceraluronic, ceramide hyaluronic acid",melembabkan wajah menjaga skin barrier,3.0,,Hidrasi dan Perawatan Kulit Sensitif
madame gie protect sunscreen spf 30 pa calendula sunblock,madame gie,"sunscreen, sunblock",calendula,"protect, spf 30 pa",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua ceramide skin barrier repair moisturizer cream pelembab wajah white day night gel siang malam mousturizer moizturizer,bioaqua,"moisturizer cream pelembab wajah, gel, mousturizer moizturizer",ceramide,"skin barrier repair, white day night, siang malam",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
sunny day cream sunscreen camille,camille,cream sunscreen,,sunny day,0.0,,Skincare Anti-Aging dan Brightening
the originote gluta bright serum brightening untuk mencerahkan meratakan warna kulit wajah niacinamide,the originote,"bright, serum","gluta, niacinamide",brightening untuk mencerahkan meratakan warna kulit wajah,4.0,,Brightening dengan Bahan Aktif
sabun papaya,papaya,sabun,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
you hy amino anti jerawat facial wash kulit berminyak,you hy,facial wash,amino,"anti jerawat, kulit berminyak",1.0,,Pembersih Wajah dan Perawatan Jerawat
the originote day night hyalu serum retinol,the originote,serum,"hyalu, retinol","day, night",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
viva glowing white serum anti - aging peeling jerawat,viva,serum,,"glowing white, anti - aging peeling jerawat",1.0,,Pembersih Wajah dan Perawatan Jerawat
skinever peeling gel niacinamide white pengelupasan pembersihan mendalam mencerahkan wajah,skinever,peeling gel,niacinamide,white pengelupasan pembersihan mendalam mencerahkan wajah,1.0,,Pembersih Wajah dan Perawatan Jerawat
ms glow night cream,ms glow,cream,,night,1.0,,Pembersih Wajah dan Perawatan Jerawat
skin aqua uv white milk spf 50 pa putih,skin aqua,white milk,,"uv, spf 50 pa putih",0.0,,Skincare Anti-Aging dan Brightening
wardah uv shield essential sunscreen gel spf 35 pa tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini,wardah,sunscreen gel,,"uv shield essential, spf 35 pa, tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini",0.0,,Skincare Anti-Aging dan Brightening
azarine cicamide barrier calm my jerawat sunscreen moisturizer,azarine,sunscreen moisturizer,cicamide,barrier calm my jerawat,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
azarine cicamide barrier sunscreen moisturizer spf35 pa gel untuk skin protection kulit kering jerawat sensitif,azarine,"sunscreen moisturizer, gel",cicamide,"barrier, spf35 pa, untuk skin protection kulit kering jerawat sensitif",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
alivee jerawat pimple patch stiker komedo untuk perawatan,alivee,pimple patch stiker,,"jerawat, komedo untuk perawatan",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
ms glow facial wash,ms glow,facial wash,,,0.0,,Skincare Anti-Aging dan Brightening
stiker jerawat hydrocolloid pimple patch,,"stiker jerawat, pimple patch",hydrocolloid,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ariul mask sheet,ariul,mask sheet,,,0.0,,Skincare Anti-Aging dan Brightening
night cream ms glow malam jerawat ultimate white,ms glow,cream,,"night, malam, jerawat ultimate white",1.0,,Pembersih Wajah dan Perawatan Jerawat
jerawat patch penghilang kempes stiker,,"jerawat patch, stiker",,penghilang kempes,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
ms glow night cream white ultimate jerawat serum facial wash sabun men poreaway siang fight toner glowing darkspot acnespot,ms glow,"night cream, serum facial wash, sabun men, toner",,"white ultimate jerawat, poreaway siang fight, glowing darkspot acnespot",3.0,,Hidrasi dan Perawatan Kulit Sensitif
the originote cica b5 soothing essence toner wajah menenangkan kulit kemerahan menyegarkan centella asiatica,the originote,essence toner wajah,"cica b5, centella asiatica","soothing, menenangkan kulit kemerahan menyegarkan",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
cordycep cream cordy,"cordycep, cordy",cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
hanasui white serum,hanasui,serum,,white,4.0,,Brightening dengan Bahan Aktif
you acneplus spot care obat totol jerawat centella,you,acneplus spot care obat totol jerawat,centella,,1.0,,Pembersih Wajah dan Perawatan Jerawat
cetaphil gentle skin cleanser niacinamide glycerin panthenol sabun wajah untuk segala jenis kulit,cetaphil gentle skin,"cleanser, sabun wajah",niacinamide glycerin panthenol,untuk segala jenis kulit,1.0,,Pembersih Wajah dan Perawatan Jerawat
salep glowing zayora untuk kulit susah putih,zayora,salep,,"glowing, untuk kulit susah putih",3.0,,Hidrasi dan Perawatan Kulit Sensitif
skintific clay mask stick mugwort jerawat alaska volcano exfoliating pore detox komedo sleeping gel,skintific,"clay mask stick, alaska volcano, sleeping gel",mugwort,"jerawat, exfoliating pore detox komedo",1.0,,Pembersih Wajah dan Perawatan Jerawat
green tea mask stik cleansing wajah cleanser komedo,,"mask stik, wajah cleanser",green tea,"cleansing, komedo",4.0,,Brightening dengan Bahan Aktif
bioaqua sheet mask flowers,bioaqua,sheet mask,flowers,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
salep flek,,salep flek,,,,entitas tidak dikenali dictionary LDA,
skintific panthenol gel cleanser facial wash acnes face sabun cuci wajah acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot cleansing amino acid ceramide,skintific,gel cleanser facial wash acnes face sabun cuci wajah,"panthenol, amino acid ceramide",acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot cleansing,1.0,,Pembersih Wajah dan Perawatan Jerawat
choice cleora exfoliating gel aha bha pha untuk wanita pria niacinamide angkat sel kulit mati smooth brightening peeling face scrub pencerah,choice cleora,"exfoliating gel, peeling face","aha bha pha, niacinamide","untuk wanita pria, angkat sel kulit mati smooth brightening, scrub pencerah",1.0,,Pembersih Wajah dan Perawatan Jerawat
bioaqua sheet mask flowers,bioaqua,sheet mask,flowers,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
glycore cream menyamarkan kulit gelap flek hitam,glycore,cream,,menyamarkan kulit gelap flek hitam,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua sheet mask plant flowers eye facial brightening glowing moisturizing hydrating essence anti jerawat honey vitamin c pelembab kulit,bioaqua,"sheet mask, essence","plant flowers, honey vitamin c","eye facial brightening glowing moisturizing, hydrating, anti jerawat, pelembab kulit",3.0,,Hidrasi dan Perawatan Kulit Sensitif
poupeepou mask wajah,poupeepou,mask wajah,,,0.0,,Skincare Anti-Aging dan Brightening
alivee jerawat patch sticker penutuh pelindung,alivee,"jerawat patch, sticker",,penutuh pelindung,1.0,,Pembersih Wajah dan Perawatan Jerawat
whitelab brightening toner pencerah wajah anti kusam niacinamide hyaluronic collagen,whitelab,toner,niacinamide hyaluronic collagen,"brightening, pencerah wajah anti kusam",4.0,,Brightening dengan Bahan Aktif
acnaway jerawat cream spot treatment obat totol anti penghilang bekas sulfur salicylic acid totarol,acnaway,"jerawat cream spot, obat totol",sulfur salicylic acid totarol,"treatment, anti penghilang bekas",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
acnaway mugwort water gel moisturizer centella panthenol only jerawat skin,acnaway,water gel moisturizer,"mugwort, centella panthenol",only jerawat skin,1.0,,Pembersih Wajah dan Perawatan Jerawat
skintific ceramide skin barrier moisturize gel moisturizer cream white wajah day night pelembab,skintific,"moisturize gel moisturizer cream, pelembab",ceramide,"skin barrier, white wajah day night",1.0,,Pembersih Wajah dan Perawatan Jerawat
implora serum wajah hydrating jerawat brightening peeling midnight,implora,serum wajah,,hydrating jerawat brightening peeling midnight,1.0,,Pembersih Wajah dan Perawatan Jerawat
innisfree sheet mask,innisfree,sheet mask,,,0.0,,Skincare Anti-Aging dan Brightening
ms glow day cream,ms glow,cream,,day,0.0,,Skincare Anti-Aging dan Brightening
the originote dark spot serum,the originote,serum,,dark spot,4.0,,Brightening dengan Bahan Aktif
skintific lactic acid skin renewal exfoliating serum peeling wajah mencerahkan dark spot tumpas komedo anti - aging anti acnedan angkat sel kulit mati aha succinic grapefruit,skintific,exfoliating serum peeling wajah,"lactic acid, aha succinic, grapefruit","skin renewal, mencerahkan dark spot tumpas komedo anti - aging anti acnedan angkat sel kulit mati",4.0,,Brightening dengan Bahan Aktif
jerawat patch penghilang acnes spot care plester stiker,,"jerawat patch, plester, stiker",,penghilang acnes spot care,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific mugwort clay stick cleansing mask anti pores jerawat facial wajah wash green alaska volcano,skintific,"clay stick cleansing mask, facial wajah wash, green alaska volcano",mugwort,anti pores jerawat,4.0,,Brightening dengan Bahan Aktif
yessica clay stick mask tea tree strawberry kulit berminyak jerawat membersihkan pori melembutkan menghaluskan tekstur mencegah mengatasi praktis mudah aplikasikan mengurangi sebum diwajah,yessica,clay stick mask,tea tree strawberry,"kulit berminyak jerawat membersihkan pori melembutkan menghaluskan tekstur mencegah mengatasi, praktis mudah aplikasikan mengurangi sebum diwajah",1.0,,Pembersih Wajah dan Perawatan Jerawat
gelatin komedo mask,,komedo mask,gelatin,,0.0,,Skincare Anti-Aging dan Brightening
salep bl cream obat jerawat gatal eksim jamur,bl,"salep, cream obat jerawat",,gatal eksim jamur,1.0,,Pembersih Wajah dan Perawatan Jerawat
sadoer sheet mask perawatan wajah,sadoer,sheet mask,,perawatan wajah,0.0,,Skincare Anti-Aging dan Brightening
facetology triple care sunscreen spf 40 pa gel cleanser,facetology,"sunscreen, gel cleanser",,"triple care, spf 40 pa",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
mask wajah green stick greentea penghilang komedo,,"mask wajah, stick","green, greentea",penghilang komedo,4.0,,Brightening dengan Bahan Aktif
aqua uv moisturizer milk spf 50 tone up essence gel 30 25 white spf50,aqua,"moisturizer, tone up essence gel",milk,"uv, spf 50, 30, 25 white spf50",0.0,,Skincare Anti-Aging dan Brightening
glad2glow mugwort salicylic acid jerawat clay stick mask stik cleanser komedo penghilang bekas,glad2glow,jerawat clay stick mask stik cleanser,mugwort salicylic acid,"komedo, penghilang bekas",1.0,,Pembersih Wajah dan Perawatan Jerawat
jerawat pimple patch sticker salicylic acid penghilang kempes asam salisilat pengobatan menghilangkan wajah untuk perawatan kulit,,jerawat pimple patch sticker,"salicylic acid, asam salisilat","penghilang kempes, pengobatan menghilangkan wajah untuk perawatan kulit",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua niacinamide brightening jerawat serum hydrating essence wajah menyamarkan flek hitam,bioaqua,"jerawat serum, essence",niacinamide,"brightening, hydrating, wajah menyamarkan flek hitam",1.0,,Pembersih Wajah dan Perawatan Jerawat
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"hydramoist, yang mencerahkan kulit memperbaiki skin barrier perfecting make up",1.0,,Pembersih Wajah dan Perawatan Jerawat
the originote jerawat serum anti inflamasi untuk merawat mencegah pertumbuhan salicylic acid,the originote,serum,salicylic acid,"jerawat, anti inflamasi untuk merawat mencegah pertumbuhan",4.0,,Brightening dengan Bahan Aktif
gmeelan orange exfoliating white gel meng angkat sel kulit mati,gmeelan orange,exfoliating white gel,,meng angkat sel kulit mati,4.0,,Brightening dengan Bahan Aktif
bioaqua sheet mask sachet tissue wajah,bioaqua,sheet mask sachet tissue wajah,,,0.0,,Skincare Anti-Aging dan Brightening
skin1004 madagascar centella tea trica spot patch,skin1004,spot patch,madagascar centella tea trica,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
stickers jerawat patch,,"stickers, patch",,jerawat,1.0,,Pembersih Wajah dan Perawatan Jerawat
skintific ceramide serum sunscreen spf50 pa sun repair invisible sunblock glowing barrier anti - aging brightening white mencerahkan wajah,skintific,"serum sunscreen, sunblock",ceramide,"spf50 pa sun repair invisible, glowing barrier anti - aging brightening white mencerahkan wajah",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
