text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
the originote mugwort b3 clay stick mask wajah jerawat menenangkan membuat kencang halus niacinamide,the originote,clay stick mask wajah,"mugwort b3, niacinamide",jerawat menenangkan membuat kencang halus,1,Skincare Anti-Aging dan Brightening
glad2glow centella soothing moisturizer gel cica pelembab wajah oil control hydrating jerawat cream day night memperbaiki skin barrier primer menghidrasi kulit,glad2glow,"jerawat cream, moisturizer gel, night, pelembab wajah","centella soothing, cica","day, memperbaiki skin barrier primer menghidrasi kulit, oil control hydrating",3,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah uv shield aqua fresh essence active protection serum spf 50 pa sunscreen sun screen,wardah,"essence, serum, sunscreen sun screen",,"active protection, spf 50 pa, uv shield aqua fresh",3,"Pelembap, Retinol, dan Perlindungan Kulit"
green mask stick meidian wajah stik tea cleansing,meidian,"green mask stick, wajah stik",tea,cleansing,5,Brightening dengan Bahan Aktif
glad2glow blueberry moisturizer cream ceramide skin barrier repair pelembab wajah white facial day night malam,glad2glow,"moisturizer cream, pelembab wajah white","blueberry, ceramide","facial day night malam, skin barrier repair",3,"Pelembap, Retinol, dan Perlindungan Kulit"
natur90 peel off mask goat milk charcoal naturgo jerawat wajah,"natur90, naturgo",peel off mask,"charcoal, goat milk",jerawat wajah,1,Skincare Anti-Aging dan Brightening
scora salicylic acid low ph cleanser sabun cuci wajah oily jerawat prone skin,scora,cleanser sabun cuci wajah,salicylic acid,"low ph, oily jerawat prone skin",2,Pembersih Wajah dan Perawatan Jerawat
the originote bha charcoal clay mask wajah exfoliating angkat sel kulit mati menghilangkan minyak berlebih,the originote,clay mask wajah,bha charcoal,exfoliating angkat sel kulit mati menghilangkan minyak berlebih,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote ceramella sunscreen spf50 pa serum untuk skin barrier protect melindungi dari sinar matahari ceramide vitamin c,the originote,"serum, sunscreen","ceramella, ceramide vitamin c","spf50 pa, untuk skin barrier protect melindungi dari sinar matahari",5,Brightening dengan Bahan Aktif
skintific ceramide barrier moisturizer gel cream white wajah calming brightening dark spot pelembab facial day night niacinamide centella marine collagen hyaluronic acid,skintific,"moisturizer gel cream white wajah, pelembab facial","ceramide, niacinamide centella marine collagen hyaluronic acid","barrier, calming brightening dark spot, day night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua sheet mask brightening moisturizing hydrating essence anti - aging wajah glowing,bioaqua,"essence, sheet mask",,"anti - aging wajah glowing, brightening moisturizing, hydrating",4,Hidrasi dan Perawatan Kulit Sensitif
little pop face mist camille,"camille, little pop",face mist,,,,
glad2glow pelembab wajah pomegranate niacinamide brightening moisturizer white cream serum pencerah blueberry ceramide skin barrier repair clay mask,glad2glow,"clay mask, moisturizer white cream serum, pelembab wajah","blueberry ceramide, niacinamide, pomegranate","brightening, pencerah, skin barrier repair",3,"Pelembap, Retinol, dan Perlindungan Kulit"
whitelab brightening facial wash sabun cleanser wajah pencerah niacinamide hyaluronic collagen,whitelab,facial wash sabun cleanser wajah,niacinamide hyaluronic collagen,"brightening, pencerah",3,"Pelembap, Retinol, dan Perlindungan Kulit"
jerawat patch penghilang kempes asam salisilat pengobatan menghilangkan wajah untuk perawatan kulit,,jerawat patch,asam salisilat,"penghilang kempes, pengobatan menghilangkan wajah untuk perawatan kulit",4,Hidrasi dan Perawatan Kulit Sensitif
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"hydramoist, yang mencerahkan kulit memperbaiki skin barrier perfecting make up",4,Hidrasi dan Perawatan Kulit Sensitif
sadoer sheet mask,sadoer,sheet mask,,,,
glad2glow clay mask wajah face cleansing stick salicylic acid anti pores jerawat penghilangkomedo centella facial wash mugwort menenangkan membuat kencang halus,glad2glow,"clay mask wajah face cleansing stick, facial wash","centella, mugwort, salicylic acid","anti pores jerawat penghilangkomedo, menenangkan membuat kencang halus",2,Pembersih Wajah dan Perawatan Jerawat
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa",1,Skincare Anti-Aging dan Brightening
the originote brightening moisturizer pelembab wajah untuk mencerahkan meratakan warna kulit niacinamide,the originote,moisturizer pelembab wajah,niacinamide,"brightening, untuk mencerahkan meratakan warna kulit",2,Pembersih Wajah dan Perawatan Jerawat
azarine hydrasoothe sunscreen gel spf45 pa kulit berminyak jerawat,azarine,sunscreen gel,,"hydrasoothe, spf45 pa kulit berminyak jerawat",3,"Pelembap, Retinol, dan Perlindungan Kulit"
npure cica jerawat toner kulit berminyak mencerahkan acid beruntusan hydrating wajah hitam,npure,toner,"acid, cica","beruntusan hydrating wajah hitam, jerawat, kulit berminyak mencerahkan",5,Brightening dengan Bahan Aktif
azarine hydrasoothe sunscreen gel spf spf50 pa spf45 hydramax sunmoist toneup mist,azarine,"sunmoist toneup mist, sunscreen gel",,"hydrasoothe, spf spf50 pa spf45 hydramax",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua mask wajah face glowing rice milk oat red bean com protein soybean white firming delicate skin brightening moisturizing,bioaqua,mask wajah,rice milk oat red bean com protein soybean,"face glowing, white firming delicate skin brightening moisturizing",,
implora shield sunscreen spf 40 pa sun screen tabir surya sunblock,implora,"sun screen tabir surya sunblock, sunscreen",,"shield, spf 40 pa",1,Skincare Anti-Aging dan Brightening
viva milk cleanser susu face tonic penyegar toner air mawar,viva,"face tonic, milk cleanser, toner","air mawar, susu",penyegar,4,Hidrasi dan Perawatan Kulit Sensitif
azarine calm my jerawat sunscreen moisturizer spf35 pa gel untuk kulit berminyak sensitif,azarine,"gel, sunscreen moisturizer",,"calm my jerawat, spf35 pa, untuk kulit berminyak sensitif",2,Pembersih Wajah dan Perawatan Jerawat
jerawat pimple patch penghilang siang malam asam salisilat perawatan kulit skin repair,,jerawat pimple patch,asam salisilat,"penghilang, perawatan kulit skin repair, siang malam",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua essence sheet mask,bioaqua,essence sheet mask,,,,
azarine hydrasoothe sunscreen gel spf spf45 pa spf50,azarine,sunscreen gel,,"hydrasoothe, spf spf45 pa spf50",3,"Pelembap, Retinol, dan Perlindungan Kulit"
jca20 spatula mask silikon facial kuas,jca20,"facial kuas, spatula mask",silikon,,,
viva milk cleanser face tonic air mawar susu toner penyegar,viva,"milk cleanser face tonic, toner",air mawar susu,penyegar,4,Hidrasi dan Perawatan Kulit Sensitif
viva milk cleanser face tonic air mawar,viva,milk cleanser face tonic,air mawar,,4,Hidrasi dan Perawatan Kulit Sensitif
the originote cica soothing moisturizer menenangkan kulit kemerahan mengunci hidrasi centella asiatica,the originote,moisturizer,"centella asiatica, cica","menenangkan kulit kemerahan mengunci hidrasi, soothing",3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote hyalucera moisturizer gel hyaluron ceramide chlorelina pelembap wajah,the originote,"moisturizer gel, pelembap wajah","hyalucera, hyaluron ceramide chlorelina",,3,"Pelembap, Retinol, dan Perlindungan Kulit"
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa",1,Skincare Anti-Aging dan Brightening
bioaqua sheet mask plant flowers eye facial brightening glowing moisturizing hydrating essence anti jerawat honey vitamin c pelembab kulit,bioaqua,"essence, pelembab, sheet mask","honey vitamin c, plant flowers","anti jerawat, eye facial brightening glowing moisturizing, hydrating, kulit",4,Hidrasi dan Perawatan Kulit Sensitif
skintific niacinamide brightening moisturizer gel cream white wajah calming dark spot pelembab facial day night arbutin acid,skintific,"moisturizer gel cream, pelembab facial","arbutin acid, niacinamide","brightening, day night, white wajah calming dark spot",2,Pembersih Wajah dan Perawatan Jerawat
yessica tea tree strawberry anti pores jerawat clay stick mask,yessica,clay stick mask,tea tree strawberry,anti pores jerawat,1,Skincare Anti-Aging dan Brightening
azarine calm my jerawat sunscreen moisturizer spf35 pa gel untuk kulit berminyak sensitif,azarine,"gel, sunscreen moisturizer",,"calm my jerawat, spf35 pa, untuk kulit berminyak sensitif",2,Pembersih Wajah dan Perawatan Jerawat
rorec hchana mask sheet,rorec hchana,mask sheet,,,,
meidian green tea stick mask cleanser pori komedo penghilang,meidian,stick mask cleanser,green tea,pori komedo penghilang,4,Hidrasi dan Perawatan Kulit Sensitif
somethinc calm down skinpair cream moisturizer centella asiatica skin barrier kulit sensitif iritasi,somethinc,cream moisturizer,centella asiatica,"calm down skinpair, skin barrier kulit sensitif iritasi",1,Skincare Anti-Aging dan Brightening
jerawat patch stiker hydrocolloid pimple,,"jerawat patch stiker, pimple",hydrocolloid,,,
bioaqua moisturizer cream white wajah penghilang flek hitam fade dark spot mencerahkan day night pelembab kering kusam moisturizing brightening,bioaqua,"cream white wajah, moisturizer, pelembab",,"kering kusam moisturizing brightening, penghilang flek hitam fade dark spot mencerahkan day night",4,Hidrasi dan Perawatan Kulit Sensitif
skin aqua uv white milk spf 50 pa putih,skin aqua,white milk,,"spf 50 pa putih, uv",2,Pembersih Wajah dan Perawatan Jerawat
jerawat pimple patch stiker perawatan kulit penghilang acnes,,jerawat pimple patch stiker,,perawatan kulit penghilang acnes,,
poupeepou mask komedo gelatin,poupeepou,mask komedo,gelatin,,4,Hidrasi dan Perawatan Kulit Sensitif
fleuri mask wajah lea gloria,"fleuri, lea gloria",mask wajah,,,,
gmeelan orange exfoliating gel peeling face gluta white cream day,gmeelan orange,"cream, exfoliating gel peeling face",gluta,"day, white",2,Pembersih Wajah dan Perawatan Jerawat
meidian green tea mask cleansing clay stick wajah cleanser komedo,meidian,"clay stick wajah cleanser, mask",green tea,"cleansing, komedo",4,Hidrasi dan Perawatan Kulit Sensitif
the originote retinol b3 serum anti - aging menyamarkan garis halus meratakan warna kulit merawat jerawat vitamin niacinamide,the originote,serum,"niacinamide, retinol b3, vitamin",anti - aging menyamarkan garis halus meratakan warna kulit merawat jerawat,3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua sheet mask hydrating essence brightening face,bioaqua,"essence, sheet mask",,"brightening face, hydrating",4,Hidrasi dan Perawatan Kulit Sensitif
youbuy white and freckle removing cream serum brighten skin essence,youbuy,"cream serum, essence",,"brighten skin, white and freckle removing",,
cream white putih,,cream,,white putih,,
some mi mask,some mi,mask,,,,
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"hydramoist, yang mencerahkan kulit memperbaiki skin barrier perfecting make up",4,Hidrasi dan Perawatan Kulit Sensitif
elformula intensive peeling solution,elformula,solution,,intensive peeling,5,Brightening dengan Bahan Aktif
elformula intensive cerahydro barrier repair moisturizer gel pelembab wajah untuk melembabkan kulit mencerahkan hyaluronic acid extract ceramide,elformula,moisturizer gel pelembab wajah,"extract ceramide, hyaluronic acid","intensive cerahydro barrier repair, untuk melembabkan kulit mencerahkan",3,"Pelembap, Retinol, dan Perlindungan Kulit"
skin1004 centella ampoule,skin1004,ampoule,centella,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote ceratinol moisturizer retinol cream gel serum pelembab wajah menyamarkan garis halus mengencangkan ceramide,the originote,"cream gel serum pelembab wajah, moisturizer","ceramide, ceratinol, retinol",menyamarkan garis halus mengencangkan,3,"Pelembap, Retinol, dan Perlindungan Kulit"
whitelab intense brightening serum niacinamide pencerah wajah intensif oxy229 hyaluronic,whitelab,serum,"niacinamide, oxy229 hyaluronic","intense brightening, pencerah wajah intensif",3,"Pelembap, Retinol, dan Perlindungan Kulit"
azarine aqua essence sun shield serum spf 50 pa hydrasoothe sunscreen gel spf45 bodyguard body saver moisturizer,azarine,"essence sun shield serum, moisturizer, sunscreen gel",aqua,"body saver, spf 50 pa hydrasoothe, spf45 bodyguard",3,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah uv shield jerawat calming sunscreen moisturizer spf 35 pa,wardah,sunscreen moisturizer,,"spf 35 pa, uv shield jerawat calming",2,Pembersih Wajah dan Perawatan Jerawat
the originote ceraluronic essence toner melembabkan wajah menjaga skin barrier ceramide hyaluronic acid,the originote,essence toner,"ceraluronic, ceramide hyaluronic acid",melembabkan wajah menjaga skin barrier,3,"Pelembap, Retinol, dan Perlindungan Kulit"
madame gie protect sunscreen spf 30 pa calendula sunblock,madame gie,"sunblock, sunscreen",calendula,"protect, spf 30 pa",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua ceramide skin barrier repair moisturizer cream pelembab wajah white day night gel siang malam mousturizer moizturizer,bioaqua,"gel, moisturizer cream pelembab wajah, mousturizer moizturizer",ceramide,"siang malam, skin barrier repair, white day night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
sunny day cream sunscreen camille,camille,cream sunscreen,,sunny day,,
the originote gluta bright serum brightening untuk mencerahkan meratakan warna kulit wajah niacinamide,the originote,"bright, serum","gluta, niacinamide",brightening untuk mencerahkan meratakan warna kulit wajah,2,Pembersih Wajah dan Perawatan Jerawat
sabun papaya,papaya,sabun,,,,
you hy amino anti jerawat facial wash kulit berminyak,you hy,facial wash,amino,"anti jerawat, kulit berminyak",2,Pembersih Wajah dan Perawatan Jerawat
the originote day night hyalu serum retinol,the originote,serum,"hyalu, retinol","day, night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
viva glowing white serum anti - aging peeling jerawat,viva,serum,,"anti - aging peeling jerawat, glowing white",2,Pembersih Wajah dan Perawatan Jerawat
skinever peeling gel niacinamide white pengelupasan pembersihan mendalam mencerahkan wajah,skinever,peeling gel,niacinamide,white pengelupasan pembersihan mendalam mencerahkan wajah,,
ms glow night cream,ms glow,cream,,night,3,"Pelembap, Retinol, dan Perlindungan Kulit"
skin aqua uv white milk spf 50 pa putih,skin aqua,white milk,,"spf 50 pa putih, uv",2,Pembersih Wajah dan Perawatan Jerawat
wardah uv shield essential sunscreen gel spf 35 pa tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini,wardah,sunscreen gel,,"spf 35 pa, tekstur ringan tidak lengket melembabkan semua jenis kulit mencegah penuaan dini, uv shield essential",1,Skincare Anti-Aging dan Brightening
azarine cicamide barrier calm my jerawat sunscreen moisturizer,azarine,sunscreen moisturizer,cicamide,barrier calm my jerawat,2,Pembersih Wajah dan Perawatan Jerawat
azarine cicamide barrier sunscreen moisturizer spf35 pa gel untuk skin protection kulit kering jerawat sensitif,azarine,"gel, sunscreen moisturizer",cicamide,"barrier, spf35 pa, untuk skin protection kulit kering jerawat sensitif",2,Pembersih Wajah dan Perawatan Jerawat
alivee jerawat pimple patch stiker komedo untuk perawatan,alivee,pimple patch stiker,,"jerawat, komedo untuk perawatan",,
ms glow facial wash,ms glow,facial wash,,,,
stiker jerawat hydrocolloid pimple patch,,"pimple patch, stiker jerawat",hydrocolloid,,4,Hidrasi dan Perawatan Kulit Sensitif
ariul mask sheet,ariul,mask sheet,,,,
night cream ms glow malam jerawat ultimate white,ms glow,cream,,"jerawat ultimate white, malam, night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
jerawat patch penghilang kempes stiker,,"jerawat patch, stiker",,penghilang kempes,4,Hidrasi dan Perawatan Kulit Sensitif
ms glow night cream white ultimate jerawat serum facial wash sabun men poreaway siang fight toner glowing darkspot acnespot,ms glow,"night cream, sabun men, serum facial wash, toner",,"glowing darkspot acnespot, poreaway siang fight, white ultimate jerawat",4,Hidrasi dan Perawatan Kulit Sensitif
the originote cica b5 soothing essence toner wajah menenangkan kulit kemerahan menyegarkan centella asiatica,the originote,essence toner wajah,"centella asiatica, cica b5","menenangkan kulit kemerahan menyegarkan, soothing",3,"Pelembap, Retinol, dan Perlindungan Kulit"
cordycep cream cordy,"cordy, cordycep",cream,,,,
hanasui white serum,hanasui,serum,,white,5,Brightening dengan Bahan Aktif
you acneplus spot care obat totol jerawat centella,you,acneplus spot care obat totol jerawat,centella,,2,Pembersih Wajah dan Perawatan Jerawat
cetaphil gentle skin cleanser niacinamide glycerin panthenol sabun wajah untuk segala jenis kulit,cetaphil gentle skin,"cleanser, sabun wajah",niacinamide glycerin panthenol,untuk segala jenis kulit,2,Pembersih Wajah dan Perawatan Jerawat
salep glowing zayora untuk kulit susah putih,zayora,salep,,"glowing, untuk kulit susah putih",,
skintific clay mask stick mugwort jerawat alaska volcano exfoliating pore detox komedo sleeping gel,skintific,"alaska volcano, clay mask stick, sleeping gel",mugwort,"exfoliating pore detox komedo, jerawat",2,Pembersih Wajah dan Perawatan Jerawat
green tea mask stik cleansing wajah cleanser komedo,,"mask stik, wajah cleanser",green tea,"cleansing, komedo",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua sheet mask flowers,bioaqua,sheet mask,flowers,,4,Hidrasi dan Perawatan Kulit Sensitif
salep flek,,salep flek,,,,
skintific panthenol gel cleanser facial wash acnes face sabun cuci wajah acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot cleansing amino acid ceramide,skintific,gel cleanser facial wash acnes face sabun cuci wajah,"amino acid ceramide, panthenol",acner glowing barrier anti - aging exfoliating brightening white blackhead removal calming peeling dark spot cleansing,,
choice cleora exfoliating gel aha bha pha untuk wanita pria niacinamide angkat sel kulit mati smooth brightening peeling face scrub pencerah,choice cleora,"exfoliating gel, peeling face","aha bha pha, niacinamide","angkat sel kulit mati smooth brightening, scrub pencerah, untuk wanita pria",2,Pembersih Wajah dan Perawatan Jerawat
bioaqua sheet mask flowers,bioaqua,sheet mask,flowers,,4,Hidrasi dan Perawatan Kulit Sensitif
glycore cream menyamarkan kulit gelap flek hitam,glycore,cream,,menyamarkan kulit gelap flek hitam,,
bioaqua sheet mask plant flowers eye facial brightening glowing moisturizing hydrating essence anti jerawat honey vitamin c pelembab kulit,bioaqua,"essence, sheet mask","honey vitamin c, plant flowers","anti jerawat, eye facial brightening glowing moisturizing, hydrating, pelembab kulit",4,Hidrasi dan Perawatan Kulit Sensitif
poupeepou mask wajah,poupeepou,mask wajah,,,,
alivee jerawat patch sticker penutuh pelindung,alivee,"jerawat patch, sticker",,penutuh pelindung,,
whitelab brightening toner pencerah wajah anti kusam niacinamide hyaluronic collagen,whitelab,toner,niacinamide hyaluronic collagen,"brightening, pencerah wajah anti kusam",3,"Pelembap, Retinol, dan Perlindungan Kulit"
acnaway jerawat cream spot treatment obat totol anti penghilang bekas sulfur salicylic acid totarol,acnaway,"jerawat cream spot, obat totol",sulfur salicylic acid totarol,"anti penghilang bekas, treatment",3,"Pelembap, Retinol, dan Perlindungan Kulit"
acnaway mugwort water gel moisturizer centella panthenol only jerawat skin,acnaway,water gel moisturizer,"centella panthenol, mugwort",only jerawat skin,,
skintific ceramide skin barrier moisturize gel moisturizer cream white wajah day night pelembab,skintific,"moisturize gel moisturizer cream, pelembab",ceramide,"skin barrier, white wajah day night",2,Pembersih Wajah dan Perawatan Jerawat
implora serum wajah hydrating jerawat brightening peeling midnight,implora,serum wajah,,hydrating jerawat brightening peeling midnight,,
innisfree sheet mask,innisfree,sheet mask,,,,
ms glow day cream,ms glow,cream,,day,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote dark spot serum,the originote,serum,,dark spot,2,Pembersih Wajah dan Perawatan Jerawat
skintific lactic acid skin renewal exfoliating serum peeling wajah mencerahkan dark spot tumpas komedo anti - aging anti acnedan angkat sel kulit mati aha succinic grapefruit,skintific,exfoliating serum peeling wajah,"aha succinic, grapefruit, lactic acid","mencerahkan dark spot tumpas komedo anti - aging anti acnedan angkat sel kulit mati, skin renewal",3,"Pelembap, Retinol, dan Perlindungan Kulit"
jerawat patch penghilang acnes spot care plester stiker,,"jerawat patch, plester, stiker",,penghilang acnes spot care,,
skintific mugwort clay stick cleansing mask anti pores jerawat facial wajah wash green alaska volcano,skintific,"clay stick cleansing mask, facial wajah wash, green alaska volcano",mugwort,anti pores jerawat,2,Pembersih Wajah dan Perawatan Jerawat
yessica clay stick mask tea tree strawberry kulit berminyak jerawat membersihkan pori melembutkan menghaluskan tekstur mencegah mengatasi praktis mudah aplikasikan mengurangi sebum diwajah,yessica,clay stick mask,tea tree strawberry,"kulit berminyak jerawat membersihkan pori melembutkan menghaluskan tekstur mencegah mengatasi, praktis mudah aplikasikan mengurangi sebum diwajah",1,Skincare Anti-Aging dan Brightening
gelatin komedo mask,,komedo mask,gelatin,,,
salep bl cream obat jerawat gatal eksim jamur,bl,"cream obat jerawat, salep",,gatal eksim jamur,,
sadoer sheet mask perawatan wajah,sadoer,sheet mask,,perawatan wajah,4,Hidrasi dan Perawatan Kulit Sensitif
facetology triple care sunscreen spf 40 pa gel cleanser,facetology,"gel cleanser, sunscreen",,"spf 40 pa, triple care",1,Skincare Anti-Aging dan Brightening
mask wajah green stick greentea penghilang komedo,,"mask wajah, stick","green, greentea",penghilang komedo,5,Brightening dengan Bahan Aktif
aqua uv moisturizer milk spf 50 tone up essence gel 30 25 white spf50,aqua,"moisturizer, tone up essence gel",milk,"25 white spf50, 30, spf 50, uv",1,Skincare Anti-Aging dan Brightening
glad2glow mugwort salicylic acid jerawat clay stick mask stik cleanser komedo penghilang bekas,glad2glow,jerawat clay stick mask stik cleanser,mugwort salicylic acid,"komedo, penghilang bekas",,
jerawat pimple patch sticker salicylic acid penghilang kempes asam salisilat pengobatan menghilangkan wajah untuk perawatan kulit,,jerawat pimple patch sticker,"asam salisilat, salicylic acid","penghilang kempes, pengobatan menghilangkan wajah untuk perawatan kulit",4,Hidrasi dan Perawatan Kulit Sensitif
bioaqua niacinamide brightening jerawat serum hydrating essence wajah menyamarkan flek hitam,bioaqua,"essence, jerawat serum",niacinamide,"brightening, hydrating, wajah menyamarkan flek hitam",4,Hidrasi dan Perawatan Kulit Sensitif
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"hydramoist, yang mencerahkan kulit memperbaiki skin barrier perfecting make up",4,Hidrasi dan Perawatan Kulit Sensitif
the originote jerawat serum anti inflamasi untuk merawat mencegah pertumbuhan salicylic acid,the originote,serum,salicylic acid,"anti inflamasi untuk merawat mencegah pertumbuhan, jerawat",2,Pembersih Wajah dan Perawatan Jerawat
gmeelan orange exfoliating white gel meng angkat sel kulit mati,gmeelan orange,exfoliating white gel,,meng angkat sel kulit mati,,
bioaqua sheet mask sachet tissue wajah,bioaqua,sheet mask sachet tissue wajah,,,,
skin1004 madagascar centella tea trica spot patch,skin1004,spot patch,madagascar centella tea trica,,,
stickers jerawat patch,,"patch, stickers",,jerawat,,
skintific ceramide serum sunscreen spf50 pa sun repair invisible sunblock glowing barrier anti - aging brightening white mencerahkan wajah,skintific,"serum sunscreen, sunblock",ceramide,"glowing barrier anti - aging brightening white mencerahkan wajah, spf50 pa sun repair invisible",3,"Pelembap, Retinol, dan Perlindungan Kulit"
pigeon teens series facial foam sabun cuci wajah moisturizer sleeping mask serum sunscreen,pigeon teens series,"facial foam sabun cuci wajah moisturizer, sleeping mask serum sunscreen",,,,
elsheskin radiant advance serum brightening anti kusam mencerahkan maksimal pudarkan noda hitam bekas jerawat tranexamic acid niacinamide symwhite kojic alpha arbutin,,elsheskin radiant advance serum,"kojic alpha arbutin, niacinamide symwhite, tranexamic acid",brightening anti kusam mencerahkan maksimal pudarkan noda hitam bekas jerawat,,
skin aqua sunscreen moisturizer milk gel white mild tone up uv,skin aqua,"gel, moisturizer, sunscreen, tone up",milk,"uv, white mild",1,Skincare Anti-Aging dan Brightening
glowsophy cica panthenol soothing moisturizer,glowsophy,moisturizer,cica panthenol,soothing,,
scora panthenol low ph cleanser sabun cuci wajah sensitive skin,scora,cleanser sabun cuci wajah,panthenol,"low ph, sensitive skin",2,Pembersih Wajah dan Perawatan Jerawat
wardah uv shield airy smooth sunscreen serum spf 50 pa ringan,wardah,sunscreen serum,,"ringan, spf 50 pa, uv shield airy smooth",3,"Pelembap, Retinol, dan Perlindungan Kulit"
azarine hydrasoothe sunscreen gel spf 45 pa,azarine,sunscreen gel,,"hydrasoothe, spf 45 pa",3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote mugwort b3 clay stick mask wajah membantu exfoliating menghilangkan minyak berlebih jerawat niacinamide,the originote,clay stick mask wajah,"mugwort b3, niacinamide",membantu exfoliating menghilangkan minyak berlebih jerawat,1,Skincare Anti-Aging dan Brightening
bioaqua sheet mask brightening moisturizing hydrating essence anti - aging wajah,bioaqua,"essence, sheet mask",,"anti - aging wajah, brightening moisturizing, hydrating",4,Hidrasi dan Perawatan Kulit Sensitif
you triple uv sunscreen spf50 pa tabir surya oil control untuk kulit berminyak uva uvb blue light oily skin selling,you,"sunscreen, tabir surya",,"oil control untuk kulit berminyak uva uvb blue light oily skin selling, spf50 pa, triple uv",3,"Pelembap, Retinol, dan Perlindungan Kulit"
ghaniyyah cream erna,"erna, ghaniyyah",cream,,,,
viva face serum peeling glowing white anti - aging,viva,face serum,,peeling glowing white anti - aging,,
jerawat pimple patch stiker penghilang,,jerawat pimple patch stiker,,penghilang,,
skintific acid anti jerawat gel moisturizer melembabkan menghilangkan bekas kulit beruntusan exfoliating perawatan wajah calming pelembab white facial day cream night,skintific,"gel moisturizer, pelembab",acid,"anti jerawat, melembabkan menghilangkan bekas kulit beruntusan exfoliating perawatan wajah calming, white facial day cream night",5,Brightening dengan Bahan Aktif
